"","id","lang","conversation_id","source","author_id","created_at","reply_settings","text","possibly_sensitive","referenced_tweets","in_reply_to_user_id","public_metrics.retweet_count","public_metrics.reply_count","public_metrics.like_count","public_metrics.quote_count","entities.urls","entities.annotations","entities.mentions","entities.hashtags","attachments.media_keys","attachments.poll_ids","engagement","engagement_categ","tweet_length","clean_tweet_length","time_of_day","is_weekend","upper_count","exclamation_count","hashtag_ct","mentions_ct","photos_count","videos_count","gifs_count","other_media_count","emojis_count","month","vader_sentiment","final_topic"
"1","1222187584857702402","und","1222187584857702402","Sprinklr","8771022","2020-01-28T16:00:02.000Z","everyone","<U+0001F495> 1/29/20 <U+0001F495> https://t.co/4vYuQ3e2g3","FALSE","NULL",NA,"82","43","760","25","list(start = 12, end = 35, url = ""https://t.co/4vYuQ3e2g3"", expanded_url = ""https://twitter.com/dunkindonuts/status/1222187584857702402/video/1"", display_url = ""pic.twitter.com/4vYuQ3e2g3"")","NULL","NULL","NULL","7_1222187529224540160","NULL","34.6","3","35","11","Afternoon","0","2","0","0","0","0","0","0","1","2","1"," 0","7"
"2","1222507872636022784","en","1222507872636022784","Twitter for iPhone","8771022","2020-01-29T13:12:44.000Z","everyone","<U+0001F4E3>BROWNIE BATTER DONUTS ARE BACK. Repeat: BROWNIE BATTER DONUTS ARE BACK. <U+0001F4E3>","FALSE","NULL",NA,"173","64","928","83","NULL","NULL","NULL","NULL","NULL","NULL","85.1","4","74","74","Afternoon","0","53","0","0","0","0","0","0","0","2","1"," 0","1"
"3","1222524875744694273","en","1222524875744694273","Sprinklr","8771022","2020-01-29T14:20:18.000Z","everyone","<U+0001F440> YOU’RE SEEING THIS CORRECTLY <U+0001F440> Go all out PINK with our new Pink Velvet Macchiato and Signature Latte – with delicious red velvet cake flavors. <U+0001F495><U+0001F382> https://t.co/o3wkMfmo1r","FALSE","NULL",NA,"124","59","691","115","list(start = 149, end = 172, url = ""https://t.co/o3wkMfmo1r"", expanded_url = ""https://twitter.com/dunkindonuts/status/1222524875744694273/video/1"", display_url = ""pic.twitter.com/o3wkMfmo1r"")","list(start = 64, end = 104, probability = 0.4438, type = ""Product"", normalized_text = ""Pink Velvet Macchiato and Signature Latte"")","NULL","NULL","7_1222524801715183617","NULL","83.2","4","172","148","Afternoon","0","35","0","0","0","0","0","0","1","4","1"," 1","4"
"4","1222898741763432454","en","1222898741763432454","Twitter Web App","8771022","2020-01-30T15:05:55.000Z","everyone","Happy #NationalCroissantDay! How are you eating yours today? <U+0001F950>","FALSE","NULL",NA,"28","32","193","11","NULL","NULL","NULL","list(start = 6, end = 27, tag = ""NationalCroissantDay"")","NULL","NULL","12.8","2","62","40","Afternoon","0","5","2","1","0","0","0","0","0","1","1"," 1","7"
"5","1224125706621333504","en","1224125706621333504","Twitter Web App","8771022","2020-02-03T00:21:26.000Z","everyone","Hey @Hyundai maybe you can try pahhhking your smaht pahk cahhh at Dunkin’ next time <U+0001F61C>  #smaht","FALSE","NULL",NA,"163","31","1218","34","NULL","list(start = 66, end = 71, probability = 0.8071, type = ""Organization"", normalized_text = ""Dunkin"")","list(start = 4, end = 12, username = ""Hyundai"", id = ""26007726"")","list(start = 87, end = 93, tag = ""smaht"")","NULL","NULL","62.5","4","93","85","Late Night","0","3","0","1","1","0","0","0","0","1","2"," 0","3"
"6","1224151195545153536","en","1224151195545153536","Twitter Web App","8771022","2020-02-03T02:02:43.000Z","everyone","We’re getting sweet &amp; spicy in honor of fans from both teams <U+0001F525> Hey Miami area, stop by these two locations to try our @FranksRedHot Jelly Donut for free tomorrow! https://t.co/zCnzyP3QaB","FALSE","NULL",NA,"55","40","291","7","list(start = 167, end = 190, url = ""https://t.co/zCnzyP3QaB"", expanded_url = ""https://twitter.com/dunkindonuts/status/1224151195545153536/photo/1"", display_url = ""pic.twitter.com/zCnzyP3QaB"")","list(start = 68, end = 72, probability = 0.886, type = ""Place"", normalized_text = ""Miami"")","list(start = 122, end = 135, username = ""FranksRedHot"", id = ""59826297"")","NULL","3_1224151163743981573","NULL","19.3","3","190","166","Late Night","0","12","1","0","1","1","0","0","0","1","2"," 1","7"
"7","1224331686403608576","en","1224331686403608576","Sprinklr","8771022","2020-02-03T13:59:55.000Z","everyone","Things are getting spicy at two of our locations in the Miami area <U+0001F525> So even if your team lost yesterday, you can still win with our free @FranksRedHot Jelly Donut. See address in bio. #FranksSweepstakes x #Dunkin https://t.co/wOFzaHzLLx","FALSE","NULL",NA,"36","53","127","115","list(start = 214, end = 237, url = ""https://t.co/wOFzaHzLLx"", expanded_url = ""https://twitter.com/dunkindonuts/status/1224331686403608576/photo/1"", display_url = ""pic.twitter.com/wOFzaHzLLx"")","list(start = 56, end = 60, probability = 0.947, type = ""Place"", normalized_text = ""Miami"")","list(start = 138, end = 151, username = ""FranksRedHot"", id = ""59826297"")","list(start = c(185, 206), end = c(203, 213), tag = c(""FranksSweepstakes"", ""Dunkin""))","3_1224331685065523201","NULL","56.8","4","237","187","Afternoon","0","17","0","2","1","1","0","0","0","1","2"," 1","4"
"8","1224336738514079745","en","1224336738514079745","Sprinklr","8771022","2020-02-03T14:20:00.000Z","everyone","Don’t worry, you don’t need to be in the Miami area to spice up your Dunkin’. Put some @FranksRedHot on another Dunkin’ item and tag us for a chance to get reposted <U+0001F609>#FranksSweepstakes x #Dunkin","FALSE","NULL",NA,"7","10","61","1","NULL","list(start = c(41, 69, 112), end = c(45, 74, 117), probability = c(0.9405, 0.5068, 0.6554), type = c(""Place"", ""Organization"", ""Organization""), normalized_text = c(""Miami"", ""Dunkin"", ""Dunkin""))","list(start = 87, end = 100, username = ""FranksRedHot"", id = ""59826297"")","list(start = c(166, 187), end = c(184, 194), tag = c(""FranksSweepstakes"", ""Dunkin""))","NULL","NULL","2.5","1","194","168","Afternoon","0","11","0","2","1","0","0","0","0","1","2","-1","7"
"9","1224349178488414208","en","1224349178488414208","Twitter Web App","8771022","2020-02-03T15:09:26.000Z","everyone","Hey @charlidamelio <U+0001F44B> We've got something special coming your way. Hope you’re ready! <U+0001F970><U+0001F369><U+2615><U+FE0F>","FALSE","NULL",NA,"14","9","241","4","NULL","NULL","list(start = 4, end = 18, username = ""charlidamelio"", id = ""1016008321"")","NULL","NULL","NULL","5.8","1","89","89","Afternoon","0","3","1","0","1","0","0","0","0","4","2"," 1","7"
"10","1224393249672044544","und","1224393249672044544","Twitter Web App","8771022","2020-02-03T18:04:33.000Z","everyone","<U+0001F64C><U+0001F369><U+2615><U+FE0F><U+0001F525><U+0001F64C><U+0001F369><U+2615><U+FE0F><U+0001F525><U+0001F64C><U+0001F369><U+2615><U+FE0F><U+0001F525> https://t.co/dJpClt6XgA","FALSE","list(type = ""quoted"", id = ""1224383106486079489"")",NA,"57","56","994","31","list(start = 16, end = 39, url = ""https://t.co/dJpClt6XgA"", expanded_url = ""https://twitter.com/charlidamelio/status/1224383106486079489"", display_url = ""twitter.com/charlidamelio/…"")","NULL","NULL","NULL","NULL","NULL","29.5","3","39","15","Evening","0","4","0","0","0","0","0","0","0","12","2"," 0","7"
