"","engagement_categ","tweet_length","clean_tweet_length","is_weekend","upper_count","exclamation_count","hashtag_ct","mentions_ct","photos_count","videos_count","gifs_count","other_media_count","emojis_count","source_Sprinklr","source_Twitter for iPhone","source_Twitter Web App","time_of_day_Evening","time_of_day_Late Night","time_of_day_Morning","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","FinalSentiment_0","FinalSentiment_1","final_topic_2","final_topic_3","final_topic_4","final_topic_5","final_topic_6","final_topic_7"
"1","3","35","11","0","2","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"2","4","74","74","0","53","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","4","172","148","0","35","0","0","0","0","0","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"4","2","62","40","0","5","2","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"5","4","93","85","0","3","0","1","1","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"6","3","190","166","0","12","1","0","1","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"7","4","237","187","0","17","0","2","1","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"8","1","194","168","0","11","0","2","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"9","1","89","89","0","3","1","0","1","0","0","0","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"10","3","39","15","0","4","0","0","0","0","0","0","0","12","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"11","3","223","176","0","30","1","0","2","4","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"12","3","219","195","1","32","3","0","0","2","0","0","0","3","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"13","3","222","183","0","21","1","1","1","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"14","2","288","264","0","10","0","0","2","0","0","0","1","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"15","3","63","39","0","5","0","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"16","3","93","69","0","15","0","0","0","1","0","0","0","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"17","2","98","74","0","8","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"18","1","107","66","0","11","0","1","1","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"19","1","111","70","0","14","1","1","1","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"20","1","122","81","0","16","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
